smoothing,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
0.1,full_information,acc,225,2250,0.22977777777777778,0.2768888888888889,-0.014851796857463543,0.0,0.034597895163596896,-0.11654735802469136,1.0,False,negligible
0.1,popularity,acc,225,2250,0.29777777777777775,0.32711111111111113,-0.0026855757205757206,0.0,0.02466033630586982,-0.020646123456790122,0.9999999213839271,False,negligible
0.1,random,acc,225,2250,0.9777777777777777,0.004,0.16700318893452226,0.14933333333333348,0.10468913532572899,0.6914573827160494,0.0,True,large
0.1,simple_markov,acc,225,2250,0.8608888888888889,0.028444444444444446,0.06961404150170815,0.05650595238095241,0.06594537578057756,0.37627713580246913,5.8148328324149805e-307,True,medium
0.1,full_information,ace,225,2250,0.31955555555555554,0.0,-0.018280129037576653,-0.007325289393076542,0.034489237497752345,-0.052777876543209874,1.0,False,negligible
0.1,popularity,ace,225,2250,0.808,0.0,0.09443289900393921,0.024202626965476176,0.3183354679797987,0.114784,6.669709665690275e-212,True,negligible
0.1,random,ace,225,2250,0.9791111111111112,0.0,0.16898110436816763,0.13455828753365554,0.13638158790091798,0.3400877037037037,0.0,True,medium
0.1,simple_markov,ace,225,2250,0.9582222222222222,0.0,0.9047384655201972,0.7180264024048181,0.751788931795534,0.7192643950617283,0.0,True,large
0.1,full_information,hd,225,2250,0.5213333333333333,0.0,-0.030493351673726205,0.010055073144902227,0.2645167244539456,-0.022965333333333334,0.8368828538787759,False,negligible
0.1,popularity,hd,225,2250,0.9168888888888889,0.0,0.5059679648280855,0.5282396086576239,0.3523370608118053,0.22995634567901235,0.0,True,small
0.1,random,hd,225,2250,0.9968888888888889,0.0,1.3688003933931376,1.3983439885333289,0.5777904524806606,0.3324977777777778,0.0,True,medium
0.1,simple_markov,hd,225,2250,0.6937777777777778,0.0,0.2641311723981339,0.19265094713319253,0.4674021053644003,0.10216612345679012,7.473696308350877e-126,True,negligible
0.1,full_information,jsd,225,2250,0.5044444444444445,0.0,-0.02482562056782827,0.001185646877663954,0.1991749155789482,-0.03297343209876543,0.9145986042926881,False,negligible
0.1,popularity,jsd,225,2250,0.912,0.0,0.34372295077157194,0.3197389279428392,0.27597212683745737,0.22693886419753087,0.0,True,small
0.1,random,jsd,225,2250,0.9995555555555555,0.0,1.0828098570761375,1.1119127271104485,0.5458490511949423,0.44244622222222224,0.0,True,medium
0.1,simple_markov,jsd,225,2250,0.692,0.0,0.20344843636353804,0.11021458037887802,0.34857621726243965,0.08927604938271605,2.8708679725877445e-128,True,negligible
0.1,full_information,kl,225,2250,0.49377777777777776,0.0,-0.12246098745942739,-0.008959888722336107,0.886657758594583,-0.040217283950617286,0.9899863642262572,False,negligible
0.1,popularity,kl,225,2250,0.9164444444444444,0.0,2.9073705510981567,1.346425674183641,6.82807120106221,0.25673758024691357,0.0,True,small
0.1,random,kl,225,2250,0.9986666666666667,0.0,4.948564118549584,4.921495723198722,2.8602733439611936,0.48155693827160495,0.0,True,large
0.1,simple_markov,kl,225,2250,1.0,0.0,20.92515991934245,18.042471556275807,16.687829733362612,0.7338441481481481,0.0,True,large
0.1,full_information,mse,225,2250,0.3031111111111111,0.0,-0.0052297039118129746,-0.0012067593634128501,0.010466144855766666,-0.08466725925925926,1.0,False,negligible
0.1,popularity,mse,225,2250,0.7644444444444445,0.0,0.0033347027293930665,0.0029380811406763004,0.00830535176371279,0.07756128395061729,1.8916444071004354e-129,True,negligible
0.1,random,mse,225,2250,0.9808888888888889,0.0,0.029963777135618905,0.027728797419453506,0.019944093414463314,0.437888,0.0,True,medium
