n_skills,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
5,bayesian_network,acc,225,2250,0.64,0.03288888888888889,0.016999999999999994,0.014999999999999847,0.0424763405459185,0.13818153086419754,6.30441613885255e-73,True,negligible
5,full_information,acc,225,2250,0.31955555555555554,0.30133333333333334,-0.003780370370370371,0.0,0.02540226678640151,-0.02100701234567901,0.9999999902200792,False,negligible
5,popularity,acc,225,2250,0.264,0.39244444444444443,-0.0024748148148148147,0.0,0.023152566618305826,-0.019497086419753087,0.9999999960050243,False,negligible
5,random,acc,225,2250,0.9133333333333333,0.012,0.07855703703703704,0.06333333333333346,0.0684216499280394,0.423022024691358,0.0,True,medium
5,simple_markov,acc,225,2250,0.6328888888888888,0.06266666666666666,0.012633333333333328,0.010000000000000009,0.029832135295622012,0.09796049382716049,9.784720779345682e-79,True,negligible
5,bayesian_network,ace,225,2250,0.7124444444444444,0.0,0.03658714050605397,0.0155291678926298,0.09821879281536096,0.10737659259259259,3.7268259101979213e-125,True,negligible
5,full_information,ace,225,2250,0.42177777777777775,0.0,-0.005798905951785507,-0.0024280517121919587,0.02081144869709524,-0.01886933333333333,1.0,False,negligible
5,popularity,ace,225,2250,0.6306666666666667,0.0,0.022017841223508035,0.0043020169113285565,0.15392752624249667,0.04692977777777778,5.636452585878512e-48,True,negligible
5,random,ace,225,2250,0.864,0.0,0.058895228246924995,0.03417772817943274,0.07528653909027554,0.1813191111111111,1.9309295988339892e-289,True,small
5,simple_markov,ace,225,2250,0.9062222222222223,0.0,0.6480975245090269,0.45439255028753545,0.6351987210791271,0.6154777283950618,0.0,True,large
5,bayesian_network,hd,225,2250,0.46444444444444444,0.0,-0.019391535071414542,-0.015942831409553798,0.19808049237426342,-0.07448335802469136,0.9999987006554063,False,negligible
5,full_information,hd,225,2250,0.42,0.0,-0.02671851410351941,-0.02152471567254871,0.12934615002473823,-0.09077096296296296,1.0,False,negligible
5,popularity,hd,225,2250,0.7328888888888889,0.0,0.15534921051709483,0.09912045153724597,0.23031632905689625,0.3074291358024691,6.2973490573190874e-173,True,small
5,random,hd,225,2250,0.9755555555555555,0.0,0.4577189082451045,0.37181891381699805,0.32745206805655824,0.7458607407407407,0.0,True,large
5,simple_markov,hd,225,2250,0.8133333333333334,0.0,0.27696748620642636,0.26303543361611403,0.2993899836025984,0.6265663209876543,1.5837326830416656e-246,True,large
5,bayesian_network,jsd,225,2250,0.48133333333333334,0.0,-0.0034550770911269137,-0.0024193616317949584,0.08097236663833762,-0.05899338271604938,0.9953784909032904,False,negligible
5,full_information,jsd,225,2250,0.39555555555555555,0.0,-0.013848875357355503,-0.008854588408798936,0.05400458915198646,-0.11741708641975308,1.0,False,negligible
5,popularity,jsd,225,2250,0.7248888888888889,0.0,0.06698551665819606,0.032796080551598945,0.10611537148421624,0.27188108641975306,7.305663454245139e-162,True,small
5,random,jsd,225,2250,0.9897777777777778,0.0,0.24456824162970936,0.18636361314800445,0.19288778177991348,0.7514591604938271,0.0,True,large
5,simple_markov,jsd,225,2250,0.7924444444444444,0.0,0.11715185559465709,0.09829447789353471,0.1507005459802908,0.5753402469135802,2.951091937030792e-211,True,large
5,bayesian_network,kl,225,2250,0.48533333333333334,0.0,0.0622506523156105,-0.007424260478821609,0.7725097020129476,-0.047823802469135805,0.923982591696597,False,negligible
5,full_information,kl,225,2250,0.38666666666666666,0.0,-0.06129705657412354,-0.04050890629269738,0.21244619121779518,-0.13318439506172838,1.0,False,negligible
5,popularity,kl,225,2250,0.7177777777777777,0.0,0.32644723935099135,0.12043246617341163,1.114399522394541,0.271936,1.5085607488249154e-148,True,small
5,random,kl,225,2250,0.9853333333333333,0.0,0.9399972499643039,0.7323963394088574,0.7213426156697144,0.7751261234567901,0.0,True,large
5,simple_markov,kl,225,2250,1.0,0.0,8.403318112331402,6.7768498059860125,6.043283001990126,0.998202074074074,0.0,True,large
