n_students,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
50,full_information,acc,225,2250,0.2866666666666667,0.124,-0.017118450759117436,-0.008333333333333193,0.03748938887492143,-0.09725214814814814,1.0,False,negligible
50,popularity,acc,225,2250,0.34844444444444445,0.16311111111111112,-0.004862806884473551,0.0,0.027035626839542717,-0.027063308641975307,1.0,False,negligible
50,random,acc,225,2250,0.9551111111111111,0.004888888888888889,0.11167391561524893,0.09356349206349207,0.08730775897231792,0.44551802469135804,0.0,True,medium
50,simple_markov,acc,225,2250,0.852,0.018222222222222223,0.057583063664730316,0.0433333333333335,0.06099634191139911,0.24388167901234567,2.165028884854514e-285,True,small
50,full_information,ace,225,2250,0.3302222222222222,0.0,-0.016255159029618306,-0.007951706692133048,0.03314754952736039,-0.038309135802469134,1.0,False,negligible
50,popularity,ace,225,2250,0.6533333333333333,0.0,0.09121012756624085,0.00777059666347945,0.3510914842127375,0.06987575308641976,5.03475060283578e-71,True,negligible
50,random,ace,225,2250,0.8982222222222223,0.0,0.0893190782279305,0.051750653282849474,0.10706888789975727,0.16468266666666667,0.0,True,small
50,simple_markov,ace,225,2250,0.9684444444444444,0.0,0.9968445558337686,0.8348579959605388,0.8073818726759339,0.717389037037037,0.0,True,large
50,full_information,hd,225,2250,0.4528888888888889,0.0,-0.05607590471776306,-0.018286781463024482,0.23533411594276765,-0.025852444444444445,0.9999999999999996,False,negligible
50,popularity,hd,225,2250,0.7866666666666666,0.0,0.27448647989191843,0.2262785483504589,0.3262951957374582,0.0877522962962963,1.6881363322020812e-231,True,negligible
50,random,hd,225,2250,0.9795555555555555,0.0,0.8715459877771046,0.7998683938240135,0.5672028648570929,0.2524187654320988,0.0,True,small
50,simple_markov,hd,225,2250,0.9453333333333334,0.0,1.0693682332891528,0.927721367251461,0.7857816891011039,0.3479427160493827,0.0,True,medium
50,full_information,jsd,225,2250,0.44355555555555554,0.0,-0.03457720950211704,-0.011244002465314172,0.1510929979104686,-0.0360880987654321,0.9999999999999998,False,negligible
50,popularity,jsd,225,2250,0.7724444444444445,0.0,0.16771202452936226,0.10360964034841601,0.22264219451709055,0.1001596049382716,1.061528712689764e-223,True,negligible
50,random,jsd,225,2250,0.9893333333333333,0.0,0.5918323316971815,0.4549835260627493,0.4962218821555782,0.33430637037037036,0.0,True,medium
50,simple_markov,jsd,225,2250,0.9333333333333333,0.0,0.6535553471574005,0.6012481524915845,0.5262444714500639,0.42044246913580247,0.0,True,medium
50,full_information,kl,225,2250,0.43244444444444446,0.0,-0.1649185537076717,-0.05462335612701755,0.6882427251665736,-0.042881975308641976,1.0,False,negligible
50,popularity,kl,225,2250,0.7671111111111111,0.0,2.240401214746613,0.45086076085592863,7.008651698343124,0.12686024691358025,9.036051529281936e-221,True,negligible
50,random,kl,225,2250,0.9862222222222222,0.0,2.77965704508301,2.099137729589013,2.42494887809663,0.36342637037037034,0.0,True,medium
50,simple_markov,kl,225,2250,1.0,0.0,29.71760208134049,27.80653656379443,18.25774892662981,0.9535668148148149,0.0,True,large
50,full_information,mse,225,2250,0.3088888888888889,0.0,-0.004784984344952844,-0.0015706419944763496,0.009754203688220725,-0.06439703703703703,1.0,False,negligible
50,popularity,mse,225,2250,0.6008888888888889,0.0,0.0015550779773283799,0.0007681556655621466,0.0084564017963752,0.021725234567901236,6.412679280079422e-22,True,negligible
50,random,mse,225,2250,0.9022222222222223,0.0,0.015472176248532143,0.010555446135624048,0.016651659062626077,0.2192082962962963,0.0,True,small
50,simple_markov,mse,225,2250,0.9444444444444444,0.0,0.017599028972435034,0.013676148067514847,0.015375612165389308,0.22907535802469137,0.0,True,small
50,full_information,spa,225,2250,0.37777777777777777,0.0,-0.00895702404286881,-0.0033907620479528555,0.021486528669716072,-0.06906192592592593,1.0,False,negligible
50,popularity,spa,225,2250,0.7008888888888889,0.0,0.006185001939623524,0.006247069094462265,0.018436315908000437,0.04745916049382716,1.7475920815508557e-78,True,negligible
50,random,spa,225,2250,0.9831111111111112,0.0,0.051244946606459736,0.04195917174199204,0.03857429460467291,0.33446637037037036,0.0,True,medium
50,simple_markov,spa,225,2250,0.72,0.0,0.01938685071581605,0.014252339660850155,0.029114094700741694,0.12578923456790123,3.9345734722672323e-159,True,negligible
100,full_information,acc,225,2250,0.2808888888888889,0.15733333333333333,-0.013074506542839884,-0.0050000000000000044,0.029995323548843517,-0.07601777777777778,1.0,False,negligible
100,popularity,acc,225,2250,0.38,0.216,-0.0005900621723955059,0.0,0.0241567381086268,-0.004013234567901235,0.9074833558367659,False,negligible
100,random,acc,225,2250,0.9591111111111111,0.004888888888888889,0.11980115163848495,0.1016666666666668,0.09243184494745241,0.4826062222222222,0.0,True,large
100,simple_markov,acc,225,2250,0.8431111111111111,0.024,0.0583781365548032,0.04602211677211682,0.060479617194908776,0.25866034567901236,5.454424465716396e-285,True,small
100,full_information,ace,225,2250,0.324,0.0,-0.011877229868435936,-0.005794894242303658,0.024256844160102226,-0.028187654320987653,1.0,False,negligible
