n_skills,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
5,bayesian_network,acc,225,2250,0.5906666666666667,0.05733333333333333,0.00789,0.0050000000000000044,0.0299907094462005,0.07005767901234568,1.2282413882876249e-37,True,negligible
5,full_information,acc,225,2250,0.34355555555555556,0.24044444444444443,-0.0033159259259259236,0.0,0.02586511795085801,-0.026336395061728395,0.9999998738024237,False,negligible
5,popularity,acc,225,2250,0.2822222222222222,0.36,-0.002742592592592594,0.0,0.023697009254322613,-0.021997234567901234,0.9999999649358084,False,negligible
5,random,acc,225,2250,0.9324444444444444,0.005333333333333333,0.07632814814814817,0.0641666666666666,0.06286473994752076,0.460881975308642,0.0,True,medium
5,simple_markov,acc,225,2250,0.64,0.03911111111111111,0.01060777777777778,0.008333333333333415,0.028891528533250964,0.0886556049382716,7.157258377671738e-69,True,negligible
5,bayesian_network,ace,225,2250,0.6737777777777778,0.0,0.020939521691703364,0.009696491557132765,0.057875934996076114,0.07525925925925926,9.157956443834316e-94,True,negligible
5,full_information,ace,225,2250,0.41955555555555557,0.0,-0.005238350878738275,-0.0023820125183300275,0.022190763136090235,-0.01983525925925926,1.0,False,negligible
5,popularity,ace,225,2250,0.6137777777777778,0.0,0.010261043167993563,0.003725981200854739,0.09441813741935738,0.03177876543209877,4.606830976393316e-27,True,negligible
5,random,ace,225,2250,0.8848888888888888,0.0,0.05367551845699973,0.035299973620254485,0.0659324604285739,0.19212444444444443,1.4454027945107774e-299,True,small
5,simple_markov,ace,225,2250,0.9382222222222222,0.0,0.6548152649593926,0.44988495893006064,0.6387514818026846,0.6856086913580247,0.0,True,large
5,bayesian_network,hd,225,2250,0.5084444444444445,0.0,0.0032790416479498343,0.004291087706807861,0.1735326455596473,0.01660958024691358,0.07583196374115134,False,negligible
5,full_information,hd,225,2250,0.47555555555555556,0.0,-0.00834808995321332,-0.005136880614058842,0.13212937733872912,-0.031106765432098765,0.9965554154864399,False,negligible
5,popularity,hd,225,2250,0.74,0.0,0.13631374935432178,0.10047017801265998,0.21372259958663078,0.2851919012345679,2.5506725147710345e-160,True,small
5,random,hd,225,2250,0.9808888888888889,0.0,0.4328818497336089,0.36878844331506544,0.2879830062672517,0.7606222222222222,0.0,True,large
5,simple_markov,hd,225,2250,0.7982222222222223,0.0,0.25694713131024377,0.23278628995997172,0.30347642020992677,0.5915045925925926,7.07176392664343e-226,True,large
