n_students,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
50,bayesian_network,acc,225,2250,0.7537777777777778,0.019555555555555555,0.03313907540607539,0.025000000000000133,0.047633761345314156,0.18127545679012347,4.8374846330639976e-185,True,small
50,full_information,acc,225,2250,0.31422222222222224,0.084,-0.016265789223122558,-0.009226370851370902,0.037377067733653915,-0.09711525925925926,1.0,False,negligible
50,popularity,acc,225,2250,0.36533333333333334,0.13066666666666665,-0.005546652162652163,-0.0004999999999998339,0.02908325212700604,-0.03011851851851852,1.0,False,negligible
50,random,acc,225,2250,0.9617777777777777,0.0013333333333333333,0.11691804432604432,0.10083333333333339,0.08490457143801346,0.50656,0.0,True,large
50,simple_markov,acc,225,2250,0.8595555555555555,0.008,0.06353807583774247,0.05127362914862915,0.06458418680127023,0.2869522962962963,1.48771286512105e-289,True,small
50,bayesian_network,ace,225,2250,0.8595555555555555,0.0,0.12099248440650877,0.07358555089683697,0.15762284689766584,0.22460207407407407,4.476313479112095e-298,True,small
50,full_information,ace,225,2250,0.30977777777777776,0.0,-0.017485897133076363,-0.010404454392883983,0.03396963198712047,-0.04637945679012346,1.0,False,negligible
50,popularity,ace,225,2250,0.5742222222222222,0.0,0.039870751524939484,0.003688066129468079,0.21535930520807933,0.04159486419753086,3.802412559066883e-20,True,negligible
50,random,ace,225,2250,0.8955555555555555,0.0,0.08706307818793906,0.05528962613631372,0.09883423320422165,0.18745362962962964,0.0,True,small
50,simple_markov,ace,225,2250,0.9795555555555555,0.0,1.0277840256796271,0.8563868493071408,0.7712395734743044,0.7843440987654321,0.0,True,large
50,bayesian_network,hd,225,2250,0.6355555555555555,0.0,0.16328560880287027,0.12461615928145742,0.4546215150399282,0.054067753086419756,7.615290956738733e-61,True,negligible
50,full_information,hd,225,2250,0.43244444444444446,0.0,-0.0545707810579142,-0.02932270386453595,0.22524351842568688,-0.022137283950617283,1.0,False,negligible
50,popularity,hd,225,2250,0.768,0.0,0.2446502566227828,0.19605744812629988,0.3153952221014002,0.07661787654320988,2.753268209073421e-202,True,negligible
50,random,hd,225,2250,0.9862222222222222,0.0,0.8831639025060856,0.8009636951777831,0.5727008162100957,0.25821906172839504,0.0,True,small
50,simple_markov,hd,225,2250,0.9462222222222222,0.0,1.133658310780446,1.0961571604517655,0.7933855519079137,0.36377995061728396,0.0,True,medium
50,bayesian_network,jsd,225,2250,0.6533333333333333,0.0,0.09347401782771017,0.057950399042041134,0.24910838369461982,0.08380523456790123,3.0773542869730497e-71,True,negligible
50,full_information,jsd,225,2250,0.44133333333333336,0.0,-0.029693480365867112,-0.011564315633466646,0.13894682097542885,-0.03022538271604938,0.9999999999999994,False,negligible
